;Hoteleiros;Turismo rural;Area
2000/Xaneiro;308;..;Ourense
2000/Febreiro;334;..;Ourense
2000/Marzo;355;..;Ourense
2000/Abril;367;..;Ourense
2000/Maio;352;..;Ourense
2000/Xuño;353;..;Ourense
2000/Xullo;408;..;Ourense
2000/Agosto;417;..;Ourense
2000/Setembro;410;..;Ourense
2000/Outubro;401;..;Ourense
2000/Novembro;348;..;Ourense
2000/Decembro;290;..;Ourense
2001/Xaneiro;305;..;Ourense
2001/Febreiro;311;..;Ourense
2001/Marzo;335;..;Ourense
2001/Abril;338;..;Ourense
2001/Maio;403;..;Ourense
2001/Xuño;430;..;Ourense
2001/Xullo;379;..;Ourense
2001/Agosto;386;..;Ourense
2001/Setembro;360;..;Ourense
2001/Outubro;333;..;Ourense
2001/Novembro;241;..;Ourense
2001/Decembro;224;..;Ourense
2002/Xaneiro;320;..;Ourense
2002/Febreiro;382;..;Ourense
2002/Marzo;384;..;Ourense
2002/Abril;398;..;Ourense
2002/Maio;402;..;Ourense
2002/Xuño;413;..;Ourense
2002/Xullo;437;..;Ourense
2002/Agosto;442;..;Ourense
2002/Setembro;449;..;Ourense
2002/Outubro;428;..;Ourense
2002/Novembro;429;..;Ourense
2002/Decembro;421;..;Ourense
2003/Xaneiro;514;..;Ourense
2003/Febreiro;550;..;Ourense
2003/Marzo;552;..;Ourense
2003/Abril;551;..;Ourense
2003/Maio;586;..;Ourense
2003/Xuño;590;..;Ourense
2003/Xullo;620;..;Ourense
2003/Agosto;655;..;Ourense
2003/Setembro;615;..;Ourense
2003/Outubro;591;..;Ourense
2003/Novembro;572;..;Ourense
2003/Decembro;560;..;Ourense
2004/Xaneiro;558;..;Ourense
2004/Febreiro;588;..;Ourense
2004/Marzo;587;..;Ourense
2004/Abril;573;..;Ourense
2004/Maio;609;..;Ourense
2004/Xuño;633;..;Ourense
2004/Xullo;618;..;Ourense
2004/Agosto;625;..;Ourense
2004/Setembro;685;..;Ourense
2004/Outubro;667;..;Ourense
2004/Novembro;649;..;Ourense
2004/Decembro;601;..;Ourense
2005/Xaneiro;574;81;Ourense
2005/Febreiro;612;112;Ourense
2005/Marzo;682;122;Ourense
2005/Abril;687;115;Ourense
2005/Maio;711;117;Ourense
2005/Xuño;714;117;Ourense
2005/Xullo;736;132;Ourense
2005/Agosto;788;133;Ourense
2005/Setembro;730;128;Ourense
2005/Outubro;707;121;Ourense
2005/Novembro;660;121;Ourense
2005/Decembro;630;118;Ourense
2006/Xaneiro;572;101;Ourense
2006/Febreiro;611;110;Ourense
2006/Marzo;693;113;Ourense
2006/Abril;720;138;Ourense
2006/Maio;739;128;Ourense
2006/Xuño;750;129;Ourense
2006/Xullo;735;149;Ourense
2006/Agosto;725;157;Ourense
2006/Setembro;710;145;Ourense
2006/Outubro;700;147;Ourense
2006/Novembro;680;132;Ourense
2006/Decembro;633;128;Ourense
2007/Xaneiro;592;101;Ourense
2007/Febreiro;639;128;Ourense
2007/Marzo;694;122;Ourense
2007/Abril;727;143;Ourense
2007/Maio;685;132;Ourense
2007/Xuño;711;141;Ourense
2007/Xullo;707;150;Ourense
2007/Agosto;755;160;Ourense
2007/Setembro;737;142;Ourense
2007/Outubro;711;144;Ourense
2007/Novembro;700;128;Ourense
2007/Decembro;711;128;Ourense
2008/Xaneiro;583;92;Ourense
2008/Febreiro;600;107;Ourense
2008/Marzo;726;108;Ourense
2008/Abril;728;110;Ourense
2008/Maio;751;124;Ourense
2008/Xuño;807;122;Ourense
2008/Xullo;814;132;Ourense
2008/Agosto;849;135;Ourense
2008/Setembro;789;116;Ourense
2008/Outubro;744;116;Ourense
2008/Novembro;754;113;Ourense
2008/Decembro;739;130;Ourense
2009/Xaneiro;588;109;Ourense
2009/Febreiro;645;121;Ourense
2009/Marzo;710;123;Ourense
2009/Abril;731;133;Ourense
2009/Maio;745;135;Ourense
2009/Xuño;737;136;Ourense
2009/Xullo;781;154;Ourense
2009/Agosto;785;155;Ourense
2009/Setembro;752;148;Ourense
2009/Outubro;738;138;Ourense
2009/Novembro;716;124;Ourense
2009/Decembro;686;131;Ourense
2010/Xaneiro;561;119;Ourense
2010/Febreiro;629;126;Ourense
2010/Marzo;710;131;Ourense
2010/Abril;704;133;Ourense
2010/Maio;723;140;Ourense
2010/Xuño;730;137;Ourense
2010/Xullo;790;142;Ourense
2010/Agosto;800;160;Ourense
2010/Setembro;788;142;Ourense
2010/Outubro;741;141;Ourense
2010/Novembro;714;129;Ourense
2010/Decembro;676;123;Ourense
2011/Xaneiro;511;106;Ourense
2011/Febreiro;598;113;Ourense
2011/Marzo;711;122;Ourense
2011/Abril;731;132;Ourense
2011/Maio;762;135;Ourense
2011/Xuño;742;136;Ourense
2011/Xullo;795;153;Ourense
2011/Agosto;808;162;Ourense
2011/Setembro;786;147;Ourense
2011/Outubro;756;145;Ourense
2011/Novembro;728;142;Ourense
2011/Decembro;658;135;Ourense
2012/Xaneiro;483;110;Ourense
2012/Febreiro;504;114;Ourense
2012/Marzo;625;126;Ourense
2012/Abril;661;127;Ourense
2012/Maio;661;131;Ourense
2012/Xuño;668;134;Ourense
2012/Xullo;721;150;Ourense
2012/Agosto;755;145;Ourense
2012/Setembro;727;130;Ourense
2012/Outubro;693;125;Ourense
2012/Novembro;668;116;Ourense
2012/Decembro;614;114;Ourense
2013/Xaneiro;492;103;Ourense
2013/Febreiro;559;107;Ourense
2013/Marzo;628;124;Ourense
2013/Abril;636;123;Ourense
2013/Maio;654;114;Ourense
2013/Xuño;638;125;Ourense
2013/Xullo;673;140;Ourense
2013/Agosto;695;136;Ourense
2013/Setembro;675;129;Ourense
2013/Outubro;656;121;Ourense
2013/Novembro;619;109;Ourense
2013/Decembro;458;106;Ourense
2014/Xaneiro;425;94;Ourense
2014/Febreiro;451;102;Ourense
2014/Marzo;528;115;Ourense
2014/Abril;592;130;Ourense
2014/Maio;592;119;Ourense
2014/Xuño;627;146;Ourense
2014/Xullo;634;142;Ourense
2014/Agosto;689;154;Ourense
2014/Setembro;667;143;Ourense
2014/Outubro;637;133;Ourense
2014/Novembro;575;115;Ourense
2014/Decembro;465;108;Ourense
2015/Xaneiro;414;90;Ourense
2015/Febreiro;465;98;Ourense
2015/Marzo;533;116;Ourense
2015/Abril;590;125;Ourense
2015/Maio;617;135;Ourense
2015/Xuño;618;139;Ourense
2015/Xullo;657;145;Ourense
2015/Agosto;701;154;Ourense
2015/Setembro;696;141;Ourense
2015/Outubro;668;122;Ourense
2015/Novembro;622;113;Ourense
2015/Decembro;483;106;Ourense
2016/Xaneiro;447;107;Ourense
2016/Febreiro;528;115;Ourense
2016/Marzo;588;123;Ourense
2016/Abril;632;124;Ourense
2016/Maio;635;131;Ourense
2016/Xuño;651;129;Ourense
2016/Xullo;695;140;Ourense
2016/Agosto;713;164;Ourense
2016/Setembro;703;146;Ourense
2016/Outubro;663;136;Ourense
2016/Novembro;637;118;Ourense
2016/Decembro;545;111;Ourense
2017/Xaneiro;461;103;Ourense
2017/Febreiro;523;98;Ourense
2017/Marzo;611;112;Ourense
2017/Abril;663;122;Ourense
2017/Maio;652;126;Ourense
2017/Xuño;669;140;Ourense
2017/Xullo;725;155;Ourense
2017/Agosto;732;153;Ourense
2017/Setembro;688;138;Ourense
2017/Outubro;648;128;Ourense
2017/Novembro;628;123;Ourense
2017/Decembro;532;115;Ourense
2018/Xaneiro;418;89;Ourense
2018/Febreiro;562;103;Ourense
2018/Marzo;638;124;Ourense
2018/Abril;645;115;Ourense
2018/Maio;676;133;Ourense
2018/Xuño;704;128;Ourense
2018/Xullo;734;143;Ourense
2018/Agosto;734;157;Ourense
2018/Setembro;721;155;Ourense
2018/Outubro;678;138;Ourense
2018/Novembro;641;140;Ourense
2018/Decembro;535;114;Ourense
2019/Xaneiro;425;85;Ourense
2019/Febreiro;514;94;Ourense
2019/Marzo;639;102;Ourense
2019/Abril;657;126;Ourense
2019/Maio;664;120;Ourense
2019/Xuño;680;115;Ourense
2019/Xullo;737;131;Ourense
2019/Agosto;768;125;Ourense
2019/Setembro;748;121;Ourense
2019/Outubro;694;113;Ourense
2019/Novembro;670;103;Ourense
2019/Decembro;588;100;Ourense
2020/Xaneiro;415;103;Ourense
2020/Febreiro;524;100;Ourense
2020/Marzo;507;90;Ourense
2020/Abril;0;..;Ourense
2020/Maio;60;..;Ourense
2020/Xuño;256;64;Ourense
2020/Xullo;549;109;Ourense
2020/Agosto;668;118;Ourense
2020/Setembro;645;98;Ourense
2020/Outubro;593;100;Ourense
2020/Novembro;414;..;Ourense
2020/Decembro;376;68;Ourense
2021/Xaneiro;269;56;Ourense
2021/Febreiro;292;46;Ourense
2021/Marzo;371;66;Ourense
2021/Abril;428;79;Ourense
2021/Maio;453;88;Ourense
2021/Xuño;499;100;Ourense
2021/Xullo;607;115;Ourense
2021/Agosto;639;135;Ourense
2021/Setembro;622;121;Ourense
2021/Outubro;578;117;Ourense
2021/Novembro;580;112;Ourense
2021/Decembro;527;113;Ourense
2022/Xaneiro;384;85;Ourense
2022/Febreiro;478;89;Ourense
2022/Marzo;596;118;Ourense
2022/Abril;631;125;Ourense
2022/Maio;620;125;Ourense
2022/Xuño;643;126;Ourense
2022/Xullo;681;139;Ourense
2022/Agosto;715;148;Ourense
2022/Setembro;660;139;Ourense
2022/Outubro;626;119;Ourense
2022/Novembro;618;107;Ourense
2022/Decembro;534;96;Ourense
2023/Xaneiro;375;76;Ourense
2023/Febreiro;421;94;Ourense
2023/Marzo;493;102;Ourense
2023/Abril;601;117;Ourense
2023/Maio;622;114;Ourense
2023/Xuño;639;127;Ourense
2023/Xullo;676;142;Ourense
